ga,gaw,gad,gastr,FL,FM,FS,z,f1,z,f2,z,f3,z,f10,z,f25,z,f50,z,f75,z,f90,z,f95,z,f97,z,f98,z,f99
23.71428571,23,5,5,1.084380738,0.620278981,0.17994439,-2.326347874,355.0396152,-2.053748911,386.8158089,-1.880793608,406.8619323,-1.281551566,475.7016694,-0.67448975,544.5902319,0,620.2789814,0.67448975,695.1942144,1.281551566,762.0395069,1.644853627,801.8053438,1.880793608,827.5411595,2.053748911,846.3638141,2.326347874,875.9594159
23.74285714,23,5.2,5,1.08377408,0.623114271,0.17987488,-2.326347874,356.8097025,-2.053748911,388.7078838,-1.880793608,408.8319088,-1.281551566,477.944113,-0.67448975,547.1120297,0,623.1142705,0.67448975,698.3456482,1.281551566,765.4773689,1.644853627,805.4153661,1.880793608,831.26326,2.053748911,850.1682017,2.326347874,879.8937086
23.77142857,23,5.4,5,1.083169422,0.625927352,0.179805285,-2.326347874,358.5683041,-2.053748911,390.5871705,-1.880793608,410.7882779,-1.281551566,480.1701508,-0.67448975,549.6146449,0,625.9273524,0.67448975,701.471907,1.281551566,768.8874285,1.644853627,808.9960318,1.880793608,834.9550015,2.053748911,853.9414988,2.326347874,883.7957633
23.8,23,5.6,5,1.082566537,0.628720489,0.179735604,-2.326347874,360.3167167,-2.053748911,392.45508,-1.880793608,412.7325229,-1.281551566,482.3815158,-0.67448975,552.1000617,0,628.7204888,0.67448975,704.5755282,1.281551566,772.2724698,1.644853627,812.5502722,1.880793608,838.6194105,2.053748911,857.6868017,2.326347874,887.6687863
23.82857143,23,5.8,5,1.081965212,0.631495813,0.179665835,-2.326347874,362.0561649,-2.053748911,394.3129448,-1.880793608,414.6660445,-1.281551566,484.579844,-0.67448975,554.5701526,0,631.4958131,0.67448975,707.6589051,1.281551566,775.635119,1.644853627,816.0808522,1.880793608,842.2593421,2.053748911,861.4070314,2.326347874,891.5158022
23.85714286,23,6,6,1.081365241,0.634255396,0.179595979,-2.326347874,363.7878388,-2.053748911,396.1620593,-1.880793608,416.5902032,-1.281551566,486.7667235,-0.67448975,557.0267352,0,634.2553965,0.67448975,710.7243606,1.281551566,778.9779247,1.644853627,819.5904552,1.880793608,845.8775668,2.053748911,865.1050224,2.326347874,895.3397462
23.88571429,23,6.2,6,1.080766429,0.637001198,0.179526035,-2.326347874,365.5128656,-2.053748911,398.0036493,-1.880793608,418.5062872,-1.281551566,488.9436577,-0.67448975,559.4715295,0,637.0011982,0.67448975,713.7740923,1.281551566,782.3032979,1.644853627,823.0816196,1.880793608,849.4767058,2.053748911,868.7834562,2.326347874,899.1433949
23.91428571,23,6.4,6,1.08016859,0.639735094,0.179456002,-2.326347874,367.2323254,-2.053748911,399.8388891,-1.880793608,420.4155303,-1.281551566,491.112086,-0.67448975,561.9061819,0,639.7350936,0.67448975,716.8102034,1.281551566,785.613546,1.644853627,826.5567746,1.880793608,853.0592672,2.053748911,872.4448988,2.326347874,902.9294056
23.94285714,23,6.6,6,1.079571545,0.642458878,0.179385881,-2.326347874,368.9472533,-2.053748911,401.6689036,-1.880793608,422.3191142,-1.281551566,493.2733865,-0.67448975,564.3322683,0,642.4588775,0.67448975,719.8347063,1.281551566,788.9108768,1.644853627,830.0182446,1.880793608,856.627651,2.053748911,876.0918055,2.326347874,906.7003206
23.97142857,23,6.8,6,1.078975126,0.645174251,0.17931567,-2.326347874,370.658631,-2.053748911,403.4947596,-1.880793608,424.2181597,-1.281551566,495.4288656,-0.67448975,566.7512824,0,645.1742505,0.67448975,722.849508,1.281551566,792.1973822,1.644853627,833.4682318,1.880793608,860.184131,2.053748911,879.7265027,2.326347874,910.4585489
24,24,0,0,1.078379172,0.647882847,0.179245371,-2.326347874,372.3674032,-2.053748911,405.3174832,-1.880793608,426.1137443,-1.281551566,497.579779,-0.67448975,569.1646597,0,647.8828467,0.67448975,725.8564406,1.281551566,795.4750717,1.644853627,836.9088519,1.880793608,863.7308916,2.053748911,883.3512251,2.326347874,914.2064044
24.02857143,24,0.2,0,1.07778353,0.650586206,0.179174983,-2.326347874,374.0744611,-2.053748911,407.1380421,-1.880793608,428.0068843,-1.281551566,499.7273105,-0.67448975,571.5737525,0,650.5862057,0.67448975,728.8572298,1.281551566,798.7458384,1.644853627,840.3420977,1.880793608,867.2699905,2.053748911,886.9680779,2.326347874,917.9460672
24.05714286,24,0.4,0,1.077188056,0.653285803,0.179104508,-2.326347874,375.7806597,-2.053748911,408.9573646,-1.880793608,429.8985543,-1.281551566,501.8725948,-0.67448975,573.9798576,0,653.2858031,0.67448975,731.8535296,1.281551566,802.0114963,1.644853627,843.769879,1.880793608,870.8033995,2.053748911,890.5790782,2.326347874,921.6796259
24.08571429,24,0.6,0,1.076592611,0.655983032,0.179033944,-2.326347874,377.4868077,-2.053748911,410.7763283,-1.880793608,431.7896757,-1.281551566,504.0167043,-0.67448975,576.3841996,0,655.9830322,0.67448975,734.8469017,1.281551566,805.2737584,1.644853627,847.193999,1.880793608,874.3329803,2.053748911,894.1861308,2.326347874,925.4090529
24.11428571,24,0.8,0,1.075997068,0.658679213,0.178963294,-2.326347874,379.193672,-2.053748911,412.5957655,-1.880793608,433.6811219,-1.281551566,506.1606551,-0.67448975,578.7879387,0,658.6792129,0.67448975,737.8388253,1.281551566,808.5342466,1.644853627,850.6161651,1.880793608,877.8604959,2.053748911,897.7910391,2.326347874,929.1362156
24.14285714,24,1,0,1.075401302,0.661375613,0.178892557,-2.326347874,380.9019905,-2.053748911,414.4164761,-1.880793608,435.5737326,-1.281551566,508.3054238,-0.67448975,581.1921897,0,661.3756132,0.67448975,740.8307212,1.281551566,811.7945192,1.644853627,854.0380175,1.880793608,881.3876396,2.053748911,901.3955356,2.326347874,932.8629079
24.17142857,24,1.2,1,1.074805196,0.664073418,0.178821734,-2.326347874,382.6124536,-2.053748911,416.2392091,-1.880793608,437.4682934,-1.281551566,510.4519234,-0.67448975,583.5979944,0,664.0734179,0.67448975,743.8239166,1.281551566,815.0560315,1.644853627,857.4610883,1.880793608,884.9159933,2.053748911,905.0012386,2.326347874,936.5908056
24.2,24,1.4,1,1.074208644,0.666773746,0.178750827,-2.326347874,384.3257142,-2.053748911,418.064672,-1.880793608,439.3655468,-1.281551566,512.6010166,-0.67448975,586.0063371,0,666.7737457,0.67448975,746.8196649,1.281551566,818.3201578,1.644853627,860.8868241,1.880793608,888.4470505,2.053748911,908.6096759,2.326347874,940.3214907
24.22857143,24,1.6,1,1.073611541,0.669477667,0.178679835,-2.326347874,386.0423981,-2.053748911,419.8935428,-1.880793608,441.2662037,-1.281551566,514.7535289,-0.67448975,588.4181592,0,669.4776671,0.67448975,749.8191651,1.281551566,821.5882127,1.644853627,864.3166085,1.880793608,891.9822397,2.053748911,912.2223091,2.326347874,944.0564766
24.25714286,24,1.8,1,1.073013791,0.672186177,0.178608761,-2.326347874,387.7630875,-2.053748911,421.7264524,-1.880793608,443.1709257,-1.281551566,516.9102283,-0.67448975,590.8343363,0,672.1861767,0.67448975,752.8235311,1.281551566,824.8614175,1.644853627,867.751727,1.880793608,895.5228882,2.053748911,915.8404959,2.326347874,947.797169
24.28571429,24,2,2,1.072415302,0.674900219,0.178537606,-2.326347874,389.4883367,-2.053748911,423.5640006,-1.880793608,445.0803419,-1.281551566,519.0718444,-0.67448975,593.2557,0,674.9002195,0.67448975,755.833821,1.281551566,828.140932,1.644853627,871.1934005,1.880793608,899.0702563,2.053748911,919.4655255,2.326347874,951.5449031
24.31428571,24,2.2,2,1.071815991,0.677620674,0.17846637,-2.326347874,391.2186616,-2.053748911,425.4067459,-1.880793608,446.9950377,-1.281551566,521.2390561,-0.67448975,595.6830234,0,677.6206736,0.67448975,758.8510181,1.281551566,831.427834,1.644853627,874.6427633,1.880793608,902.6255151,2.053748911,923.0985962,2.326347874,955.3009196
24.34285714,24,2.4,2,1.071215778,0.680348376,0.178395054,-2.326347874,392.9545546,-2.053748911,427.2552212,-1.880793608,448.9155714,-1.281551566,523.4125102,-0.67448975,598.1170436,0,680.3483759,0.67448975,761.876059,1.281551566,834.7231502,1.644853627,878.100896,1.880793608,906.1897803,2.053748911,926.7408492,2.326347874,959.0663999
24.37142857,24,2.6,2,1.070614588,0.683084101,0.178323661,-2.326347874,394.6964729,-2.053748911,429.1099207,-1.880793608,450.842461,-1.281551566,525.5928068,-0.67448975,600.5584432,0,683.0841015,0.67448975,764.9098113,1.281551566,838.0278315,1.644853627,881.5687992,1.880793608,909.7640848,2.053748911,930.3933412,2.326347874,962.8424386
24.4,24,2.8,2,1.070012355,0.685828579,0.178252191,-2.326347874,396.4448473,-2.053748911,430.9713102,-1.880793608,452.7761943,-1.281551566,527.7805103,-0.67448975,603.0078649,0,685.8285794,0.67448975,767.9530909,1.281551566,841.3427719,1.644853627,885.047414,1.880793608,913.3494002,2.053748911,934.0570661,2.326347874,966.6300644
24.42857143,24,3,3,1.069409013,0.688582486,0.178180647,-2.326347874,398.2000781,-2.053748911,432.8398222,-1.880793608,454.7172243,-1.281551566,529.9761446,-0.67448975,605.4659044,0,688.5824857,0.67448975,771.0066539,1.281551566,844.6688,1.644853627,888.5376123,1.880793608,916.9466265,2.053748911,937.7329447,2.326347874,970.4302309
24.45714286,24,3.2,3,1.068804505,0.691346448,0.178109028,-2.326347874,399.9625379,-2.053748911,434.7158589,-1.880793608,456.6659721,-1.281551566,532.1801964,-0.67448975,607.933115,0,691.3464478,0.67448975,774.0712025,1.281551566,848.006685,1.644853627,892.0402035,1.880793608,920.5565994,2.053748911,941.4218318,2.326347874,974.2438232
24.48571429,24,3.4,3,1.068198775,0.694121047,0.178037338,-2.326347874,401.7325728,-2.053748911,436.599794,-1.880793608,458.6228289,-1.281551566,534.3931174,-0.67448975,610.4100099,0,694.1210475,0.67448975,777.1473868,1.281551566,851.3571393,1.644853627,895.5559374,1.880793608,924.1800929,2.053748911,945.1245192,2.326347874,978.0716611
24.51428571,24,3.6,3,1.067591775,0.696906825,0.177965577,-2.326347874,403.5105055,-2.053748911,438.4919755,-1.880793608,460.5881587,-1.281551566,536.6153277,-0.67448975,612.8970661,0,696.9068253,0.67448975,780.2358116,1.281551566,854.7208252,1.644853627,899.0855107,1.880793608,927.8178261,2.053748911,948.8417425,2.326347874,981.9145063
24.54285714,24,3.8,3,1.066983459,0.699704284,0.177893747,-2.326347874,405.2966365,-2.053748911,440.3927275,-1.880793608,462.5623006,-1.281551566,538.847218,-0.67448975,615.3947272,0,699.7042837,0.67448975,783.3370383,1.281551566,858.0983576,1.644853627,902.6295704,1.880793608,931.4704671,2.053748911,952.5741851,2.326347874,985.7730664
24.57142857,24,4,3,1.066373787,0.702513872,0.17782185,-2.326347874,407.0912356,-2.053748911,442.3023404,-1.880793608,464.5455581,-1.281551566,541.0891382,-0.67448975,617.9033897,0,702.5138716,0.67448975,786.4515686,1.281551566,861.4902859,1.644853627,906.1886948,1.880793608,935.1386126,2.053748911,956.3224574,2.326347874,989.6479734
24.6,24,4.2,4,1.065762721,0.705336,0.177749887,-2.326347874,408.8945502,-2.053748911,444.2210806,-1.880793608,466.5382098,-1.281551566,543.3414083,-0.67448975,620.4234166,0,705.3359998,0.67448975,789.5798611,1.281551566,864.8971122,1.644853627,909.7634119,1.880793608,938.8228078,2.053748911,960.0871172,2.326347874,993.5398047
24.62857143,24,4.4,4,1.065150228,0.708171058,0.177677861,-2.326347874,410.7068165,-2.053748911,446.1492021,-1.880793608,468.540521,-1.281551566,545.6043333,-0.67448975,622.9551531,0,708.1710584,0.67448975,792.7223518,1.281551566,868.3193138,1.644853627,913.3542239,1.880793608,942.5235709,2.053748911,963.8686944,2.326347874,997.4491092
24.65714286,24,4.6,4,1.064536279,0.711019383,0.177605772,-2.326347874,412.528238,-2.053748911,448.0869236,-1.880793608,470.5527199,-1.281551566,547.8781751,-0.67448975,625.4988954,0,711.0193825,0.67448975,795.8794144,1.281551566,871.7572995,1.644853627,916.9615608,1.880793608,946.2413459,2.053748911,967.6676433,2.326347874,1001.376357
24.68571429,24,4.8,4,1.063920848,0.713881285,0.177533622,-2.326347874,414.3590058,-2.053748911,450.0344501,-1.880793608,472.5750207,-1.281551566,550.163179,-0.67448975,628.0549208,0,713.881285,0.67448975,799.0513981,1.281551566,875.2114515,1.644853627,920.5858247,1.880793608,949.9765477,2.053748911,971.4843882,2.326347874,1005.321988
24.71428571,24,5,5,1.063303913,0.716757021,0.177461414,-2.326347874,416.199277,-2.053748911,451.9919501,-1.880793608,474.6075988,-1.281551566,552.4595452,-0.67448975,630.6234551,0,716.7570206,0.67448975,802.2385867,1.281551566,878.6820803,1.644853627,924.2273419,1.880793608,953.7295131,2.053748911,975.3192737,2.326347874,1009.286358
24.74285714,24,5.2,5,1.062685454,0.719646853,0.177389149,-2.326347874,418.0492141,-2.053748911,453.9595975,-1.880793608,476.6506356,-1.281551566,554.7674811,-0.67448975,633.2047321,0,719.6468528,0.67448975,805.4412741,1.281551566,882.169507,1.644853627,927.8864504,1.880793608,957.5005909,2.053748911,979.1726565,2.326347874,1013.269836
24.77142857,24,5.4,5,1.062065455,0.722550976,0.177316829,-2.326347874,419.9089388,-2.053748911,455.9375223,-1.880793608,478.7042662,-1.281551566,557.0871402,-0.67448975,635.7989243,0,722.5509757,0.67448975,808.6596761,1.281551566,885.6739677,1.644853627,931.5633981,1.880793608,961.2900371,2.053748911,983.0447984,2.326347874,1017.272695
24.8,24,5.6,5,1.061443904,0.725469578,0.177244455,-2.326347874,421.7785697,-2.053748911,457.925851,-1.880793608,480.7686223,-1.281551566,559.4186719,-0.67448975,638.4061995,0,725.4695778,0.67448975,811.8940024,1.281551566,889.1956912,1.644853627,935.2584259,1.880793608,965.0980999,2.053748911,986.9359533,2.326347874,1021.295196
24.82857143,24,5.8,5,1.060820789,0.7284028,0.17717203,-2.326347874,423.6581975,-2.053748911,459.9246799,-1.880793608,482.8438038,-1.281551566,561.7621887,-0.67448975,641.0266833,0,728.4027998,0.67448975,815.1444092,1.281551566,892.7348482,1.644853627,938.9717128,1.880793608,968.9249644,2.053748911,990.8463105,2.326347874,1025.337536
24.85714286,24,6,6,1.060196104,0.731350778,0.177099555,-2.326347874,425.5479104,-2.053748911,461.9341025,-1.880793608,484.9299076,-1.281551566,564.1177998,-0.67448975,643.6604976,0,731.3507781,0.67448975,818.4110478,1.281551566,896.2916037,1.644853627,942.7034324,1.880793608,972.7708094,2.053748911,994.7760528,2.326347874,1029.399904
24.88571429,24,6.2,6,1.059569844,0.734313602,0.177027032,-2.326347874,427.4477689,-2.053748911,463.9541825,-1.880793608,487.0269994,-1.281551566,566.485578,-0.67448975,646.3077231,0,734.3136022,0.67448975,821.694017,1.281551566,899.8660651,1.644853627,946.4536973,1.880793608,976.6357513,2.053748911,998.7252993,2.326347874,1033.482423
24.91428571,24,6.4,6,1.058942007,0.737291348,0.176954462,-2.326347874,429.3578255,-2.053748911,465.9849749,-1.880793608,489.1351358,-1.281551566,568.8655858,-0.67448975,648.968428,0,737.2913478,0.67448975,824.9934001,1.281551566,903.4583229,1.644853627,950.2226028,1.880793608,980.5198879,2.053748911,1002.69415,2.326347874,1037.585197
24.94285714,24,6.6,6,1.058312593,0.740284065,0.176881848,-2.326347874,431.2781177,-2.053748911,468.0265182,-1.880793608,491.2543562,-1.281551566,571.2578653,-0.67448975,651.6426582,0,740.2840647,0.67448975,828.3092515,1.281551566,907.0684362,1.644853627,954.0102103,1.880793608,984.423283,2.053748911,1006.68267,2.326347874,1041.708292
24.97142857,24,6.8,6,1.057681605,0.743291777,0.176809191,-2.326347874,433.2086673,-2.053748911,470.0788345,-1.880793608,493.3846826,-1.281551566,573.6624391,-0.67448975,654.3304367,0,743.291777,0.67448975,831.6415968,1.281551566,910.6964319,1.644853627,957.8165482,1.880793608,988.3459655,2.053748911,1010.690889,2.326347874,1045.85174
25,25,0,0,1.057049046,0.746314496,0.176736493,-2.326347874,435.149489,-2.053748911,472.1419375,-1.880793608,495.5261283,-1.281551566,576.0793192,-0.67448975,657.0317747,0,746.3144956,0.67448975,834.9904468,1.281551566,914.3423212,1.644853627,961.6416278,1.880793608,992.287947,2.053748911,1014.718818,2.326347874,1050.015553
25.02857143,25,0.2,0,1.056414923,0.749352202,0.176663755,-2.326347874,437.1005795,-2.053748911,474.215822,-1.880793608,497.678687,-1.281551566,578.508495,-0.67448975,659.7466578,0,749.3522019,0.67448975,838.3557793,1.281551566,918.0060789,1.644853627,965.4854225,1.880793608,996.2491998,2.053748911,1018.76643,2.326347874,1054.199701
25.05714286,25,0.4,0,1.055779246,0.752404862,0.17659098,-2.326347874,439.0619263,-2.053748911,476.3004728,-1.880793608,499.8423415,-1.281551566,580.9499437,-0.67448975,662.4750575,0,752.4048616,0.67448975,841.7375545,1.281551566,921.6876608,1.644853627,969.3478851,1.880793608,1000.229675,2.053748911,1022.833674,2.326347874,1058.404133
25.08571429,25,0.6,0,1.055142025,0.755472418,0.176518169,-2.326347874,441.033504,-2.053748911,478.3958604,-1.880793608,502.0170602,-1.281551566,583.4036254,-0.67448975,665.2169259,0,755.4724184,0.67448975,845.1357079,1.281551566,925.3869953,1.644853627,973.2289404,1.880793608,1004.229295,2.053748911,1026.920471,2.326347874,1062.628766
25.11428571,25,0.8,0,1.054503272,0.758554809,0.176445323,-2.326347874,443.0152827,-2.053748911,480.501951,-1.880793608,504.2028064,-1.281551566,585.8694946,-0.67448975,667.972209,0,758.554809,0.67448975,848.5501674,1.281551566,929.1040024,1.644853627,977.1285037,1.880793608,1008.247973,2.053748911,1031.026731,2.326347874,1066.873507
25.14285714,25,1,0,1.053863,0.761651938,0.176372446,-2.326347874,445.0072138,-2.053748911,482.6186902,-1.880793608,506.3995223,-1.281551566,588.3474812,-0.67448975,670.7408245,0,761.6519379,0.67448975,851.9808249,1.281551566,932.8385632,1.644853627,981.0464495,1.880793608,1012.285578,2.053748911,1035.152321,2.326347874,1071.138218
25.17142857,25,1.2,1,1.053221225,0.764763704,0.176299537,-2.326347874,447.0092446,-2.053748911,484.7460195,-1.880793608,508.6071455,-1.281551566,590.8375102,-0.67448975,673.5226846,0,764.7637037,0.67448975,855.4275654,1.281551566,936.5905506,1.644853627,984.9826438,1.880793608,1016.341972,2.053748911,1039.2971,2.326347874,1075.422754
25.2,25,1.4,1,1.052577965,0.767889993,0.176226598,-2.326347874,449.0213156,-2.053748911,486.8838726,-1.880793608,510.8256057,-1.281551566,593.3394971,-0.67448975,676.3176911,0,767.8899929,0.67448975,858.8902606,1.281551566,940.3598234,1.644853627,988.9369379,1.880793608,1020.417001,2.053748911,1043.46091,2.326347874,1079.72695
