ga,gaw,gad,gastr,FL,FM,FS,z,f1,z,f2,z,f3,z,f10,z,f25,z,f50,z,f75,z,f90,z,f95,z,f97,z,f98,z,f99
26.71428571,26,5,5,1.146243697,0.946884284,0.187011629,-2.326347874,518.4111162,-2.053748911,570.7522704,-1.880793608,603.5962982,-1.281551566,715.4888359,-0.67448975,826.2801833,0,946.8842838,0.67448975,1065.275852,1.281551566,1170.201694,1.644853627,1232.335241,1.880793608,1272.441231,2.053748911,1301.723512,2.326347874,1347.68213
26.74285714,26,5.2,5,1.144856583,0.950024736,0.187110694,-2.326347874,520.0585399,-2.053748911,572.5618686,-1.880793608,605.5111228,-1.281551566,717.7798547,-0.67448975,828.967143,0,950.0247359,0.67448975,1068.881209,1.281551566,1174.233507,1.644853627,1236.625409,1.880793608,1276.900323,2.053748911,1306.30697,2.326347874,1352.462481
26.77142857,26,5.4,5,1.143469468,0.953164311,0.187208838,-2.326347874,521.7074396,-2.053748911,574.3724955,-1.880793608,607.4267205,-1.281551566,720.0709127,-0.67448975,831.6536079,0,953.1643106,0.67448975,1072.485497,1.281551566,1178.264221,1.644853627,1240.914518,1.880793608,1281.358404,2.053748911,1310.889464,2.326347874,1357.241958
26.8,26,5.6,5,1.142082353,0.956303327,0.187306063,-2.326347874,523.3580049,-2.053748911,576.1843573,-1.880793608,609.3433078,-1.281551566,722.3622603,-0.67448975,834.339862,0,956.3033274,0.67448975,1076.089071,1.281551566,1182.294221,1.644853627,1245.202973,1.880793608,1285.815891,2.053748911,1315.471417,2.326347874,1362.020997
26.82857143,26,5.8,5,1.140695238,0.959442103,0.187402371,-2.326347874,525.0104237,-2.053748911,577.9976585,-1.880793608,611.2610993,-1.281551566,724.6541459,-0.67448975,837.0261861,0,959.4421026,0.67448975,1079.69228,1.281551566,1186.323889,1.644853627,1249.491172,1.880793608,1290.273195,2.053748911,1320.053251,2.326347874,1366.800034
26.85714286,26,6,6,1.139308123,0.96258095,0.187497763,-2.326347874,526.6648829,-2.053748911,579.8126018,-1.880793608,613.1803076,-1.281551566,726.9468155,-0.67448975,839.7128587,0,962.5809496,0.67448975,1083.295473,1.281551566,1190.353602,1.644853627,1253.779513,1.880793608,1294.730724,2.053748911,1324.635381,2.326347874,1371.579499
26.88571429,26,6.2,6,1.137921008,0.965720178,0.187592239,-2.326347874,528.3215673,-2.053748911,581.6293883,-1.880793608,615.1011435,-1.281551566,729.2405127,-0.67448975,842.4001554,0,965.7201785,0.67448975,1086.898994,1.281551566,1194.383736,1.644853627,1258.068388,1.880793608,1299.188881,2.053748911,1329.218221,2.326347874,1376.359817
26.91428571,26,6.4,6,1.136533894,0.968860096,0.187685802,-2.326347874,529.9806606,-2.053748911,583.448217,-1.880793608,617.0238161,-1.281551566,731.5354788,-0.67448975,845.0883488,0,968.8600959,0.67448975,1090.503182,1.281551566,1198.414659,1.644853627,1262.358183,1.880793608,1303.648066,2.053748911,1333.802177,2.326347874,1381.141408
26.94285714,26,6.6,6,1.135146779,0.972001006,0.18777845,-2.326347874,531.6423449,-2.053748911,585.2692857,-1.880793608,618.9485323,-1.281551566,733.8319529,-0.67448975,847.7777094,0,972.0010059,0.67448975,1094.108375,1.281551566,1202.446739,1.644853627,1266.649283,1.880793608,1308.108675,2.053748911,1338.387653,2.326347874,1385.92469
26.97142857,26,6.8,6,1.133759664,0.975143209,0.187870186,-2.326347874,533.3068008,-2.053748911,587.0927903,-1.880793608,620.8754976,-1.281551566,736.1301719,-0.67448975,850.4685044,0,975.1432089,0.67448975,1097.714906,1.281551566,1206.480337,1.644853627,1270.942067,1.880793608,1312.571097,2.053748911,1342.975048,2.326347874,1390.710073
27,27,0,0,1.132372549,0.978287003,0.187961009,-2.326347874,534.9742075,-2.053748911,588.9189248,-1.880793608,622.8049154,-1.281551566,738.4303701,-0.67448975,853.1609987,0,978.2870025,0.67448975,1101.323104,1.281551566,1210.515812,1.644853627,1275.236911,1.880793608,1317.035719,2.053748911,1347.564757,2.326347874,1395.497967
27.02857143,27,0.2,0,1.130985434,0.981432681,0.18805092,-2.326347874,536.6447427,-2.053748911,590.7478818,-1.880793608,624.7369873,-1.281551566,740.7327799,-0.67448975,855.8554542,0,981.432681,0.67448975,1104.933295,1.281551566,1214.553518,1.644853627,1279.534186,1.880793608,1321.502923,2.053748911,1352.157169,2.326347874,1400.288773
