ga,gaw,gad,gastr,ML,MM,MS,z,m1,z,m2,z,m3,z,m10,z,m25,z,m50,z,m75,z,m90,z,m95,z,m97,z,m98,z,m99
24.14285714,24,1,0,1.157669478,0.714227104,0.170118085,-2.326347874,420.6863437,-2.053748911,456.4564945,-1.880793608,478.9221103,-1.281551566,555.5416337,-0.67448975,631.4931083,0,714.2271038,0.67448975,795.4731275,1.281551566,867.4891358,1.644853627,910.1358656,1.880793608,937.6632446,2.053748911,957.761281,2.326347874,989.3044075
24.17142857,24,1.2,1,1.157128869,0.716920202,0.1700689,-2.326347874,422.4013856,-2.053748911,458.2850516,-1.880793608,480.8229335,-1.281551566,557.6939024,-0.67448975,633.9012188,0,716.9202024,0.67448975,798.4515962,1.281551566,870.724566,1.644853627,913.5250777,1.880793608,941.1523163,2.053748911,961.323546,2.326347874,992.9820156
24.2,24,1.4,1,1.156587842,0.719616648,0.170019655,-2.326347874,424.1194361,-2.053748911,460.1166238,-1.880793608,482.7267814,-1.281551566,559.849258,-0.67448975,636.3125202,0,719.6166483,0.67448975,801.4336055,1.281551566,873.9637381,1.644853627,916.9181633,1.880793608,944.6453512,2.053748911,964.8898419,2.326347874,996.6637646
24.22857143,24,1.6,1,1.156046295,0.722317686,0.169970347,-2.326347874,425.8412433,-2.053748911,461.9520187,-1.880793608,484.634499,-1.281551566,562.0086748,-0.67448975,638.7281157,0,722.3176862,0.67448975,804.4205401,1.281551566,877.2081617,1.644853627,920.3167064,1.880793608,948.1439814,2.053748911,968.461836,2.326347874,1000.351377
24.25714286,24,1.8,1,1.15550414,0.72502446,0.169920973,-2.326347874,427.5674956,-2.053748911,463.7919794,-1.880793608,486.546864,-1.281551566,564.1730484,-0.67448975,641.1490193,0,725.0244601,0.67448975,807.4136726,1.281551566,880.4592244,1.644853627,923.7221628,1.880793608,951.6497067,2.053748911,972.0410604,2.326347874,1004.046436
24.28571429,24,2,2,1.154961286,0.727738085,0.169871532,-2.326347874,429.2988649,-2.053748911,465.6372307,-1.880793608,488.4646344,-1.281551566,566.3432519,-0.67448975,643.5762191,0,727.7380846,0.67448975,810.4142429,1.281551566,883.7182775,1.644853627,927.1359504,1.880793608,955.1639882,2.053748911,975.6290076,2.326347874,1007.750483
24.31428571,24,2.2,2,1.154417654,0.730459573,0.169822022,-2.326347874,431.0359629,-2.053748911,467.4884322,-1.880793608,490.3885005,-1.281551566,568.5200798,-0.67448975,646.0106138,0,730.4595733,0.67448975,813.4233782,1.281551566,886.9865499,1.644853627,930.5593583,1.880793608,958.6881541,2.053748911,979.2270344,2.326347874,1011.46492
24.34285714,24,2.4,2,1.153873168,0.7331899,0.169772442,-2.326347874,432.7793785,-2.053748911,469.346219,-1.880793608,492.3191261,-1.281551566,570.7042957,-0.67448975,648.4530673,0,733.1899,0.67448975,816.4421614,1.281551566,890.2652218,1.644853627,933.9936248,1.880793608,962.2234802,2.053748911,982.8364442,2.326347874,1015.191095
24.37142857,24,2.6,2,1.153327757,0.735929974,0.169722789,-2.326347874,434.5296623,-2.053748911,471.2111845,-1.880793608,494.2571318,-1.281551566,572.8966133,-0.67448975,650.9043865,0,735.9299742,0.67448975,819.4716037,1.281551566,893.5553955,1.644853627,937.4399063,1.880793608,965.7711578,2.053748911,986.4584539,2.326347874,1018.930263
24.4,24,2.8,2,1.152781356,0.738680623,0.169673063,-2.326347874,436.2873163,-2.053748911,473.0838696,-1.880793608,496.203083,-1.281551566,575.0976821,-0.67448975,653.3653055,0,738.6806232,0.67448975,822.5126248,1.281551566,896.858073,1.644853627,940.899254,1.880793608,969.3322701,2.053748911,990.0941698,2.326347874,1022.683568
24.42857143,24,3,3,1.152233904,0.741442638,0.169623263,-2.326347874,438.0528218,-2.053748911,474.9647923,-1.880793608,498.1575211,-1.281551566,577.308124,-0.67448975,655.8365268,0,741.4426385,0.67448975,825.5661043,1.281551566,900.174213,1.644853627,944.3726735,1.880793608,972.9078532,2.053748911,993.7446506,2.326347874,1026.452103
24.45714286,24,3.2,3,1.151685345,0.744216755,0.169573388,-2.326347874,439.8266263,-2.053748911,476.8544345,-1.880793608,500.1209495,-1.281551566,579.5285169,-0.67448975,658.318703,0,744.2167549,0.67448975,828.632859,1.281551566,903.5047054,1.644853627,947.8610984,1.880793608,976.4988687,2.053748911,997.4108784,2.326347874,1030.236884
24.48571429,24,3.4,3,1.151135629,0.747003646,0.169523438,-2.326347874,441.6091408,-2.053748911,478.7532384,-1.880793608,502.0938302,-1.281551566,581.7593904,-0.67448975,660.8124321,0,747.0036457,0.67448975,831.7136369,1.281551566,906.8503649,1.644853627,951.3653834,1.880793608,980.1061974,2.053748911,1001.093753,2.326347874,1034.03884
24.51428571,24,3.6,3,1.150584709,0.749803942,0.16947341,-2.326347874,443.4007516,-2.053748911,480.6616193,-1.880793608,504.0765968,-1.281551566,584.0012418,-0.67448975,663.3182749,0,749.8039422,0.67448975,834.809139,1.281551566,910.2119555,1.644853627,954.8863296,1.880793608,983.7306645,2.053748911,1004.794117,2.326347874,1037.858841
24.54285714,24,3.8,3,1.150032542,0.752618214,0.169423307,-2.326347874,445.2018084,-2.053748911,482.5799529,-1.880793608,506.0696416,-1.281551566,586.2545201,-0.67448975,665.8367379,0,752.6182139,0.67448975,837.9199981,1.281551566,913.5901662,1.644853627,958.4246598,1.880793608,987.3730148,2.053748911,1008.512732,2.326347874,1041.697674
24.57142857,24,4,3,1.14947909,0.755446986,0.169373126,-2.326347874,447.0126342,-2.053748911,484.5085862,-1.880793608,508.0733266,-1.281551566,588.5196395,-0.67448975,668.3682876,0,755.4469856,0.67448975,841.0467967,1.281551566,916.9856314,1.644853627,961.9810394,1.880793608,991.0339335,2.053748911,1012.250297,2.326347874,1045.556062
24.6,24,4.2,4,1.148924318,0.758290738,0.169322868,-2.326347874,448.8335258,-2.053748911,486.4478376,-1.880793608,510.087984,-1.281551566,590.7969796,-0.67448975,670.9133516,0,758.290738,0.67448975,844.1900682,1.281551566,920.398932,1.644853627,965.5560776,1.880793608,994.7140484,2.053748911,1016.007453,2.326347874,1049.434667
24.62857143,24,4.4,4,1.148368195,0.761149918,0.169272533,-2.326347874,450.6647597,-2.053748911,488.3980038,-1.880793608,512.1139232,-1.281551566,593.0868938,-0.67448975,673.4723276,0,761.1499176,0.67448975,847.3503082,1.281551566,923.8306074,1.644853627,969.1503401,1.880793608,998.4139421,2.053748911,1019.784796,2.326347874,1053.334103
24.65714286,24,4.6,4,1.147810694,0.764024913,0.169222121,-2.326347874,452.5065782,-2.053748911,490.3593443,-1.880793608,514.1514146,-1.281551566,595.3896902,-0.67448975,676.045562,0,764.0249133,0.67448975,850.5279481,1.281551566,927.2811273,1.644853627,972.7643194,1.880793608,1002.134122,2.053748911,1023.582844,2.326347874,1057.254907
24.68571429,24,4.8,4,1.147251792,0.766916084,0.169171632,-2.326347874,454.3592056,-2.053748911,492.3320992,-1.880793608,516.2007084,-1.281551566,597.7056537,-0.67448975,678.6333748,0,766.9160843,0.67448975,853.7233858,1.281551566,930.7509247,1.644853627,976.3984694,1.880793608,1005.875056,2.053748911,1027.402075,2.326347874,1061.197572
24.71428571,24,5,5,1.146691468,0.76982373,0.169121066,-2.326347874,456.222831,-2.053748911,494.3164703,-1.880793608,518.2620145,-1.281551566,600.0350227,-0.67448975,681.2360333,0,769.82373,0.67448975,856.9369532,1.281551566,934.2403605,1.644853627,980.0531686,1.880793608,1009.637133,2.053748911,1031.242887,2.326347874,1065.162508
