ga,gaw,gad,gastr,ML,MM,MS,z,m1,z,m2,z,m3,z,m10,z,m25,z,m50,z,m75,z,m90,z,m95,z,m97,z,m98,z,m99
26.51428571,26,3.6,3,1.071707563,0.980898374,0.172120191,-2.326347874,581.3738884,-2.053748911,629.0198985,-1.880793608,659.114791,-1.281551566,762.655274,-0.67448975,866.5262113,0,980.8983736,0.67448975,1094.319832,1.281551566,1195.683131,1.644853627,1256.04796,1.880793608,1295.139026,2.053748911,1323.740851,2.326347874,1368.731452
26.54285714,26,3.8,3,1.071093277,0.984137133,0.172224046,-2.326347874,583.106311,-2.053748911,630.9252957,-1.880793608,661.1305197,-1.281551566,765.0563985,-0.67448975,869.3220768,0,984.1371331,0.67448975,1098.005378,1.281551566,1199.773703,1.644853627,1260.38211,1.880793608,1299.631806,2.053748911,1328.350127,2.326347874,1373.52469
26.57142857,26,4,3,1.070478992,0.987383593,0.17232675,-2.326347874,584.8449362,-2.053748911,632.8370077,-1.880793608,663.1526449,-1.281551566,767.4642582,-0.67448975,872.1250981,0,987.3835934,0.67448975,1101.699241,1.281551566,1203.873199,1.644853627,1264.725569,1.880793608,1304.134153,2.053748911,1332.969163,2.326347874,1378.328
26.6,26,4.2,4,1.069864706,0.990637538,0.172428341,-2.326347874,586.5895657,-2.053748911,634.7548342,-1.880793608,665.1809649,-1.281551566,769.8786469,-0.67448975,874.935064,0,990.6375376,0.67448975,1105.401197,1.281551566,1207.981391,1.644853627,1269.078106,1.880793608,1308.645835,2.053748911,1337.597726,2.326347874,1383.141145
26.62857143,26,4.4,4,1.06925042,0.993898763,0.172528855,-2.326347874,588.3400114,-2.053748911,636.6785855,-1.880793608,667.215289,-1.281551566,772.2993701,-0.67448975,877.751776,0,993.8987628,0.67448975,1109.11104,1.281551566,1212.098067,1.644853627,1273.439507,1.880793608,1313.166636,2.053748911,1342.235598,2.326347874,1387.963908
26.65714286,26,4.6,4,1.068636134,0.997167079,0.172628329,-2.326347874,590.0960951,-2.053748911,638.6080823,-1.880793608,669.2554371,-1.281551566,774.7262446,-0.67448975,880.5750479,0,997.167079,0.67448975,1112.828575,1.281551566,1216.223031,1.644853627,1277.809574,1.880793608,1317.696356,2.053748911,1346.88258,2.326347874,1392.796086
26.68571429,26,4.8,4,1.068021849,1.000442309,0.172726797,-2.326347874,591.8576479,-2.053748911,640.5431549,-1.880793608,671.301239,-1.281551566,777.1590981,-0.67448975,883.404705,0,1000.442309,0.67448975,1116.553623,1.281551566,1220.356101,1.644853627,1282.188123,1.880793608,1322.234811,2.053748911,1351.538485,2.326347874,1397.637492
26.71428571,26,5,5,1.067407563,1.003724288,0.172824293,-2.326347874,593.6245109,-2.053748911,642.4836437,-1.880793608,673.3525347,-1.281551566,779.5977695,-0.67448975,886.2405846,0,1003.724288,0.67448975,1120.286018,1.281551566,1224.497107,1.644853627,1286.574984,1.880793608,1326.781831,2.053748911,1356.203145,2.326347874,1402.487957
26.74285714,26,5.2,5,1.066793277,1.007012865,0.172920849,-2.326347874,595.3965338,-2.053748911,644.4293986,-1.880793608,675.409174,-1.281551566,782.0421079,-0.67448975,889.0825352,0,1007.012865,0.67448975,1124.025607,1.281551566,1228.645898,1.644853627,1290.970004,1.880793608,1331.337261,2.053748911,1360.876403,2.326347874,1407.347325
26.77142857,26,5.4,5,1.066178992,1.010307898,0.173016497,-2.326347874,597.1735759,-2.053748911,646.380279,-1.880793608,677.4710163,-1.281551566,784.491973,-0.67448975,891.9304167,0,1010.307898,0.67448975,1127.772248,1.281551566,1232.802331,1.644853627,1295.373043,1.880793608,1335.900962,2.053748911,1365.558121,2.326347874,1412.215455
